t,v
9.605,0.33
16.334,0.256
24.924,0.268
32.468,0.266
41.685,0.274
50.121,0.301
57.744,0.246
66.3,0.346
73.614,0.304
81.259,0.371
88.642,0.283
95.063,0.329
102.763,0.286
110.057,0.27
117.658,0.358
127.196,0.266
136.208,0.43
145.273,0.421
152.385,0.325
159.003,0.379
166.99,0.265
173.949,0.329
180.89,0.414
189.24,0.43
197.362,0.333
205.325,0.366
212.49,0.251
221.37,0.268
228.949,0.29
235.953,0.287
244.465,0.27
251.331,0.308
257.836,0.403
261.113,0.27
264.659,0.276
267.879,0.265
271.51,0.279
274.894,0.241
283.008,0.379
286.375,0.321
290.3,0.26
293.973,0.251
297.911,0.231
302.303,0.36
306.51,0.251
309.794,0.436
313.124,0.282
321.516,0.267
326.208,0.39
330.684,0.382
334.546,0.412
339.201,0.293
342.781,0.386
346.375,0.342
349.736,0.35
354.318,0.265
357.95,0.28
362.022,0.28
365.864,0.342
370.191,0.291
374.682,0.3
378.897,0.101
383.409,0.417
385.216,0.467
387.416,0.315
389.546,0.279
391.424,0.294
393.399,0.263
395.582,0.16
397.483,0.323
399.24,0.294
401.64,0.285
403.695,0.529
405.857,0.278
408.24,0.276
410.133,0.265
412.081,0.285
413.796,0.314
415.432,0.287
417.035,0.259
421.607,0.255
423.535,0.304
425.795,0.27
427.611,0.275
429.582,0.256
431.325,0.249
433.541,0.257
435.207,0.295
438.969,0.237
441.16,0.19
443.393,0.245
445.628,0.274
456.132,0.386
464.876,0.323
471.322,0.337
478.078,0.264
484.65,0.277
492.568,0.262
501.331,0.339
510.145,0.301
519.437,0.283
527.875,0.284
534.427,0.4
540.966,0.336
550.524,0.326
559.176,0.307
568.295,0.311
576.596,0.261
583.806,0.329
593.115,0.291
600.176,0.275
607.858,0.34
614.765,0.353
623.992,0.27
631.162,0.428
638.225,0.293
645.479,0.255
652.826,0.258
659.391,0.268
666.761,0.27
674.584,0.303
681.662,0.305
688.33,0.333
697.305,0.366
703.809,0.327
707.461,0.402
711.041,0.318
714.952,0.279
719.177,0.283
722.697,0.302
726.341,0.309
730.44,0.284
734.371,0.256
738.53,0.269
742.009,0.309
746.583,0.287
750.684,0.274
754.91,0.264
758.621,0.338
762.071,0.335
766.164,0.226
769.982,0.32
774.167,0.335
777.945,0.347
781.885,0.257
785.869,0.305
790.425,0.414
794.688,0.406
799.324,0.467
803.109,0.289
806.85,0.396
810.431,0.335
814.73,0.262
818.49,0.244
821.871,0.279
825.264,0.263
829.768,0.239
831.997,0.401
833.688,0.327
835.798,0.274
837.861,0.273
840.016,0.278
841.795,0.292
844.124,0.315
845.803,0.331
848.045,0.289
850.083,0.323
851.883,0.3
854.163,0.252
856.064,0.27
857.693,0.321
859.967,0.263
862.153,0.334
863.991,0.279
866.161,0.263
868.027,0.267
870.426,0.268
872.725,0.299
874.724,0.258
876.386,0.273
878.245,0.25
879.922,0.268
882.197,0.265
884.524,0.269
886.459,0.325
888.225,0.237
890.106,0.26
892.323,0.237